year,avg_temp,moving_avg
1796,26.53,
1797,27.48,
1798,26.2,
1799,26.84,
1800,26.88,26.786
1801,26.05,26.69
1802,27.44,26.682
1803,27.22,26.886
1804,27.65,27.048
1805,27.02,27.076
1806,26.89,27.244
1807,26.15,26.986
1808,26.15,26.772
1809,26.15,26.472
1810,26.15,26.298
1811,26.15,26.15
1812,26.15,26.15
1813,26.25,26.17
1814,25.65,26.07
1815,25.8,26
1816,25.38,25.846
1817,25.61,25.738
1818,25.83,25.654
1819,25.78,25.68
1820,25.88,25.696
1821,26.45,25.91
1822,26.43,26.074
1823,26.65,26.238
1824,27.1,26.502
1825,26.72,26.67
1826,26.89,26.758
1827,26.73,26.818
1828,26.63,26.814
1829,26.47,26.688
1830,26.45,26.634
1831,26.41,26.538
1832,26.63,26.518
1833,26.5,26.492
1834,26.56,26.51
1835,25.8,26.38
1836,26.19,26.336
1837,26.24,26.258
1838,26.33,26.224
1839,26.34,26.18
1840,26.44,26.308
1841,26.12,26.294
1842,26.27,26.3
1843,26.01,26.236
1844,26.08,26.184
1845,26.39,26.174
1846,26.82,26.314
1847,26.31,26.322
1848,26.32,26.384
1849,26.26,26.42
1850,26.47,26.436
1851,26.45,26.362
1852,26.4,26.38
1853,26.7,26.456
1854,26.79,26.562
1855,26.81,26.63
1856,26.24,26.588
1857,25.82,26.472
1858,26.6,26.452
1859,26.6,26.414
1860,26.41,26.334
1861,26.26,26.338
1862,24.38,26.05
1863,24.38,25.606
1864,24.38,25.162
1865,26.96,25.272
1866,26.97,25.414
1867,26.91,25.92
1868,26.8,26.404
1869,26.78,26.884
1870,26.45,26.782
1871,26.59,26.706
1872,26.54,26.632
1873,26.6,26.592
1874,26.57,26.55
1875,26.6,26.58
1876,26.9,26.642
1877,27.22,26.778
1878,27.34,26.926
1879,26.29,26.87
1880,26.71,26.892
1881,26.61,26.834
1882,26.52,26.694
1883,26.28,26.482
1884,26.18,26.46
1885,26.53,26.424
1886,26.51,26.404
1887,26.28,26.356
1888,26.81,26.462
1889,26.89,26.604
1890,26.69,26.636
1891,27,26.734
1892,26.79,26.836
1893,25.9,26.654
1894,26.75,26.626
1895,26.63,26.614
1896,27.44,26.702
1897,27.6,26.864
1898,26.89,27.062
1899,27.19,27.15
1900,27.65,27.354
1901,27.01,27.268
1902,27.38,27.224
1903,26.73,27.192
1904,26.68,27.09
1905,26.92,26.944
1906,27.1,26.962
1907,26.67,26.82
1908,26.65,26.804
1909,26.77,26.822
1910,26.61,26.76
1911,27.03,26.746
1912,27.15,26.842
1913,27.03,26.918
1914,26.75,26.914
1915,27.01,26.994
1916,26.66,26.92
1917,25.93,26.676
1918,26.76,26.622
1919,27.05,26.682
1920,27.24,26.728
1921,26.94,26.784
1922,26.85,26.968
1923,26.93,27.002
1924,27.13,27.018
1925,26.56,26.882
1926,27.13,26.92
1927,27.25,27
1928,27.19,27.052
1929,27.2,27.066
1930,27.03,27.16
1931,27.11,27.156
1932,26.66,27.038
1933,26.36,26.872
1934,26.72,26.776
1935,26.98,26.766
1936,27.09,26.762
1937,26.85,26.8
1938,26.68,26.864
1939,26.85,26.89
1940,26.72,26.838
1941,27.74,26.968
1942,27.19,27.036
1943,26.53,27.006
1944,26.85,27.006
1945,26.7,27.002
1946,26.93,26.84
1947,27.07,26.816
1948,27.26,26.962
1949,26.86,26.964
1950,26.88,27
1951,27.1,27.034
1952,27.28,27.076
1953,27.44,27.112
1954,27.03,27.146
1955,26.81,27.132
1956,26.79,27.07
1957,27.24,27.062
1958,27.55,27.084
1959,27.38,27.154
1960,27.31,27.254
1961,27.04,27.304
1962,26.73,27.202
1963,26.81,27.054
1964,27.2,27.018
1965,27.21,26.998
1966,27.46,27.082
1967,27.01,27.138
1968,26.9,27.156
1969,27.34,27.184
1970,26.84,27.11
1971,26.71,26.96
1972,27.68,27.094
1973,27.63,27.24
1974,27.01,27.174
1975,26.72,27.15
1976,27.12,27.232
1977,27.32,27.16
1978,27.01,27.036
1979,27.67,27.168
1980,27.7,27.364
1981,27.1,27.36
1982,27.43,27.382
1983,27.35,27.45
1984,27.38,27.392
1985,27.51,27.354
1986,27.71,27.476
1987,27.54,27.498
1988,27.44,27.516
1989,27.06,27.452
1990,26.91,27.332
1991,27.35,27.26
1992,27.24,27.2
1993,27.24,27.16
1994,27.07,27.162
1995,27.24,27.228
1996,27.37,27.232
1997,27.47,27.278
1998,27.87,27.404
1999,27.24,27.438
2000,27.23,27.436
2001,27.56,27.474
2002,27.67,27.514
2003,27.84,27.508
2004,27.23,27.506
2005,27.49,27.558
2006,27.47,27.54
2007,27.55,27.516
2008,27.45,27.438
2009,28.03,27.598
2010,27.69,27.638
2011,27.41,27.626
2012,28.02,27.72
2013,28.85,28
